PATTERN,CSP_OLA,CSP_VIO
"M1,D1",0.877729338,0.877729338
"M1,D2",0.877729338,0.877729338
"M1,D3",0.877729338,0.877729338
"M1,D4",0.877729338,0.877729338
"M1,D5",0.877729338,0.877729338
"M1,D6",0.877729338,0.877729338
"M1,D7",0.877729338,0.877729338
"M1,D8",0.877729338,0.877729338
"M1,D9",0.877729338,0.877729338
"M1,D10",0.877729338,0.877729338
"M1,D11",0.877729338,0.877729338
"M1,D12",0.877729338,0.877729338
"M1,D13",0.877729338,0.877729338
"M1,D14",0.877729338,0.877729338
"M1,D15",0.877729338,0.877729338
"M1,D16",0.877729338,0.877729338
"M1,D17",0.877729338,0.877729338
"M1,D18",0.877729338,0.877729338
"M1,D19",0.877729338,0.877729338
"M1,D20",0.877729338,0.877729338
"M1,D21",0.877729338,0.877729338
"M1,D22",0.877729338,0.877729338
"M1,D23",0.877729338,0.877729338
"M1,D24",0.877729338,0.877729338
"M1,D25",0.877729338,0.877729338
"M1,D26",0.877729338,0.877729338
"M1,D27",0.877729338,0.877729338
"M1,D28",0.877729338,0.877729338
"M1,D29",0.877729338,0.877729338
"M1,D30",0.877729338,0.877729338
"M1,D31",0.877729338,0.877729338
"M2,D1",0.968640078,0.968640078
"M2,D2",0.968640078,0.968640078
"M2,D3",0.968640078,0.968640078
"M2,D4",0.968640078,0.968640078
"M2,D5",0.968640078,0.968640078
"M2,D6",0.968640078,0.968640078
"M2,D7",0.968640078,0.968640078
"M2,D8",0.968640078,0.968640078
"M2,D9",0.968640078,0.968640078
"M2,D10",0.968640078,0.968640078
"M2,D11",0.968640078,0.968640078
"M2,D12",0.968640078,0.968640078
"M2,D13",0.968640078,0.968640078
"M2,D14",0.968640078,0.968640078
"M2,D15",0.968640078,0.968640078
"M2,D16",0.968640078,0.968640078
"M2,D17",0.968640078,0.968640078
"M2,D18",0.968640078,0.968640078
"M2,D19",0.968640078,0.968640078
"M2,D20",0.968640078,0.968640078
"M2,D21",0.968640078,0.968640078
"M2,D22",0.968640078,0.968640078
"M2,D23",0.968640078,0.968640078
"M2,D24",0.968640078,0.968640078
"M2,D25",0.968640078,0.968640078
"M2,D26",0.968640078,0.968640078
"M2,D27",0.968640078,0.968640078
"M2,D28",0.968640078,0.968640078
"M3,D1",1.01314125,1.01314125
"M3,D2",1.01314125,1.01314125
"M3,D3",1.01314125,1.01314125
"M3,D4",1.01314125,1.01314125
"M3,D5",1.01314125,1.01314125
"M3,D6",1.01314125,1.01314125
"M3,D7",1.01314125,1.01314125
"M3,D8",1.01314125,1.01314125
"M3,D9",1.01314125,1.01314125
"M3,D10",1.01314125,1.01314125
"M3,D11",1.01314125,1.01314125
"M3,D12",1.01314125,1.01314125
"M3,D13",1.01314125,1.01314125
"M3,D14",1.01314125,1.01314125
"M3,D15",1.01314125,1.01314125
"M3,D16",1.01314125,1.01314125
"M3,D17",1.01314125,1.01314125
"M3,D18",1.01314125,1.01314125
"M3,D19",1.01314125,1.01314125
"M3,D20",1.01314125,1.01314125
"M3,D21",1.01314125,1.01314125
"M3,D22",1.01314125,1.01314125
"M3,D23",1.01314125,1.01314125
"M3,D24",1.01314125,1.01314125
"M3,D25",1.01314125,1.01314125
"M3,D26",1.01314125,1.01314125
"M3,D27",1.01314125,1.01314125
"M3,D28",1.01314125,1.01314125
"M3,D29",1.01314125,1.01314125
"M3,D30",1.01314125,1.01314125
"M3,D31",1.01314125,1.01314125
"M4,D1",1.044,1.044
"M4,D2",1.044,1.044
"M4,D3",1.044,1.044
"M4,D4",1.044,1.044
"M4,D5",1.044,1.044
"M4,D6",1.044,1.044
"M4,D7",1.044,1.044
"M4,D8",1.044,1.044
"M4,D9",1.044,1.044
"M4,D10",1.044,1.044
"M4,D11",1.044,1.044
"M4,D12",1.044,1.044
"M4,D13",1.044,1.044
"M4,D14",1.044,1.044
"M4,D15",1.044,1.044
"M4,D16",1.044,1.044
"M4,D17",1.044,1.044
"M4,D18",1.044,1.044
"M4,D19",1.044,1.044
"M4,D20",1.044,1.044
"M4,D21",1.044,1.044
"M4,D22",1.044,1.044
"M4,D23",1.044,1.044
"M4,D24",1.044,1.044
"M4,D25",1.044,1.044
"M4,D26",1.044,1.044
"M4,D27",1.044,1.044
"M4,D28",1.044,1.044
"M4,D29",1.044,1.044
"M4,D30",1.044,1.044
"M5,D1",1.037313754,1.037313754
"M5,D2",1.037313754,1.037313754
"M5,D3",1.037313754,1.037313754
"M5,D4",1.037313754,1.037313754
"M5,D5",1.037313754,1.037313754
"M5,D6",1.037313754,1.037313754
"M5,D7",1.037313754,1.037313754
"M5,D8",1.037313754,1.037313754
"M5,D9",1.037313754,1.037313754
"M5,D10",1.037313754,1.037313754
"M5,D11",1.037313754,1.037313754
"M5,D12",1.037313754,1.037313754
"M5,D13",1.037313754,1.037313754
"M5,D14",1.037313754,1.037313754
"M5,D15",1.037313754,1.037313754
"M5,D16",1.037313754,1.037313754
"M5,D17",1.037313754,1.037313754
"M5,D18",1.037313754,1.037313754
"M5,D19",1.037313754,1.037313754
"M5,D20",1.037313754,1.037313754
"M5,D21",1.037313754,1.037313754
"M5,D22",1.037313754,1.037313754
"M5,D23",1.037313754,1.037313754
"M5,D24",1.037313754,1.037313754
"M5,D25",1.037313754,1.037313754
"M5,D26",1.037313754,1.037313754
"M5,D27",1.037313754,1.037313754
"M5,D28",1.037313754,1.037313754
"M5,D29",1.037313754,1.037313754
"M5,D30",1.037313754,1.037313754
"M5,D31",1.037313754,1.037313754
"M6,D1",1.023042305,1.023042305
"M6,D2",1.023042305,1.023042305
"M6,D3",1.023042305,1.023042305
"M6,D4",1.023042305,1.023042305
"M6,D5",1.023042305,1.023042305
"M6,D6",1.023042305,1.023042305
"M6,D7",1.023042305,1.023042305
"M6,D8",1.023042305,1.023042305
"M6,D9",1.023042305,1.023042305
"M6,D10",1.023042305,1.023042305
"M6,D11",1.023042305,1.023042305
"M6,D12",1.023042305,1.023042305
"M6,D13",1.023042305,1.023042305
"M6,D14",1.023042305,1.023042305
"M6,D15",1.023042305,1.023042305
"M6,D16",1.023042305,1.023042305
"M6,D17",1.023042305,1.023042305
"M6,D18",1.023042305,1.023042305
"M6,D19",1.023042305,1.023042305
"M6,D20",1.023042305,1.023042305
"M6,D21",1.023042305,1.023042305
"M6,D22",1.023042305,1.023042305
"M6,D23",1.023042305,1.023042305
"M6,D24",1.023042305,1.023042305
"M6,D25",1.023042305,1.023042305
"M6,D26",1.023042305,1.023042305
"M6,D27",1.023042305,1.023042305
"M6,D28",1.023042305,1.023042305
"M6,D29",1.023042305,1.023042305
"M6,D30",1.023042305,1.023042305
"M7,D1",1.005014549,1.005014549
"M7,D2",1.005014549,1.005014549
"M7,D3",1.005014549,1.005014549
"M7,D4",1.005014549,1.005014549
"M7,D5",1.005014549,1.005014549
"M7,D6",1.005014549,1.005014549
"M7,D7",1.005014549,1.005014549
"M7,D8",1.005014549,1.005014549
"M7,D9",1.005014549,1.005014549
"M7,D10",1.005014549,1.005014549
"M7,D11",1.005014549,1.005014549
"M7,D12",1.005014549,1.005014549
"M7,D13",1.005014549,1.005014549
"M7,D14",1.005014549,1.005014549
"M7,D15",1.005014549,1.005014549
"M7,D16",1.005014549,1.005014549
"M7,D17",1.005014549,1.005014549
"M7,D18",1.005014549,1.005014549
"M7,D19",1.005014549,1.005014549
"M7,D20",1.005014549,1.005014549
"M7,D21",1.005014549,1.005014549
"M7,D22",1.005014549,1.005014549
"M7,D23",1.005014549,1.005014549
"M7,D24",1.005014549,1.005014549
"M7,D25",1.005014549,1.005014549
"M7,D26",1.005014549,1.005014549
"M7,D27",1.005014549,1.005014549
"M7,D28",1.005014549,1.005014549
"M7,D29",1.005014549,1.005014549
"M7,D30",1.005014549,1.005014549
"M7,D31",1.005014549,1.005014549
"M8,D1",0.988166172,0.988166172
"M8,D2",0.988166172,0.988166172
"M8,D3",0.988166172,0.988166172
"M8,D4",0.988166172,0.988166172
"M8,D5",0.988166172,0.988166172
"M8,D6",0.988166172,0.988166172
"M8,D7",0.988166172,0.988166172
"M8,D8",0.988166172,0.988166172
"M8,D9",0.988166172,0.988166172
"M8,D10",0.988166172,0.988166172
"M8,D11",0.988166172,0.988166172
"M8,D12",0.988166172,0.988166172
"M8,D13",0.988166172,0.988166172
"M8,D14",0.988166172,0.988166172
"M8,D15",0.988166172,0.988166172
"M8,D16",0.988166172,0.988166172
"M8,D17",0.988166172,0.988166172
"M8,D18",0.988166172,0.988166172
"M8,D19",0.988166172,0.988166172
"M8,D20",0.988166172,0.988166172
"M8,D21",0.988166172,0.988166172
"M8,D22",0.988166172,0.988166172
"M8,D23",0.988166172,0.988166172
"M8,D24",0.988166172,0.988166172
"M8,D25",0.988166172,0.988166172
"M8,D26",0.988166172,0.988166172
"M8,D27",0.988166172,0.988166172
"M8,D28",0.988166172,0.988166172
"M8,D29",0.988166172,0.988166172
"M8,D30",0.988166172,0.988166172
"M8,D31",0.988166172,0.988166172
"M9,D1",0.99290969,0.99290969
"M9,D2",0.99290969,0.99290969
"M9,D3",0.99290969,0.99290969
"M9,D4",0.99290969,0.99290969
"M9,D5",0.99290969,0.99290969
"M9,D6",0.99290969,0.99290969
"M9,D7",0.99290969,0.99290969
"M9,D8",0.99290969,0.99290969
"M9,D9",0.99290969,0.99290969
"M9,D10",0.99290969,0.99290969
"M9,D11",0.99290969,0.99290969
"M9,D12",0.99290969,0.99290969
"M9,D13",0.99290969,0.99290969
"M9,D14",0.99290969,0.99290969
"M9,D15",0.99290969,0.99290969
"M9,D16",0.99290969,0.99290969
"M9,D17",0.99290969,0.99290969
"M9,D18",0.99290969,0.99290969
"M9,D19",0.99290969,0.99290969
"M9,D20",0.99290969,0.99290969
"M9,D21",0.99290969,0.99290969
"M9,D22",0.99290969,0.99290969
"M9,D23",0.99290969,0.99290969
"M9,D24",0.99290969,0.99290969
"M9,D25",0.99290969,0.99290969
"M9,D26",0.99290969,0.99290969
"M9,D27",0.99290969,0.99290969
"M9,D28",0.99290969,0.99290969
"M9,D29",0.99290969,0.99290969
"M9,D30",0.99290969,0.99290969
"M10,D1",0.937370749,0.937370749
"M10,D2",0.937370749,0.937370749
"M10,D3",0.937370749,0.937370749
"M10,D4",0.937370749,0.937370749
"M10,D5",0.937370749,0.937370749
"M10,D6",0.937370749,0.937370749
"M10,D7",0.937370749,0.937370749
"M10,D8",0.937370749,0.937370749
"M10,D9",0.937370749,0.937370749
"M10,D10",0.937370749,0.937370749
"M10,D11",0.937370749,0.937370749
"M10,D12",0.937370749,0.937370749
"M10,D13",0.937370749,0.937370749
"M10,D14",0.937370749,0.937370749
"M10,D15",0.937370749,0.937370749
"M10,D16",0.937370749,0.937370749
"M10,D17",0.937370749,0.937370749
"M10,D18",0.937370749,0.937370749
"M10,D19",0.937370749,0.937370749
"M10,D20",0.937370749,0.937370749
"M10,D21",0.937370749,0.937370749
"M10,D22",0.937370749,0.937370749
"M10,D23",0.937370749,0.937370749
"M10,D24",0.937370749,0.937370749
"M10,D25",0.937370749,0.937370749
"M10,D26",0.937370749,0.937370749
"M10,D27",0.937370749,0.937370749
"M10,D28",0.937370749,0.937370749
"M10,D29",0.937370749,0.937370749
"M10,D30",0.937370749,0.937370749
"M10,D31",0.937370749,0.937370749
"M11,D1",0.893096194,0.893096194
"M11,D2",0.893096194,0.893096194
"M11,D3",0.893096194,0.893096194
"M11,D4",0.893096194,0.893096194
"M11,D5",0.893096194,0.893096194
"M11,D6",0.893096194,0.893096194
"M11,D7",0.893096194,0.893096194
"M11,D8",0.893096194,0.893096194
"M11,D9",0.893096194,0.893096194
"M11,D10",0.893096194,0.893096194
"M11,D11",0.893096194,0.893096194
"M11,D12",0.893096194,0.893096194
"M11,D13",0.893096194,0.893096194
"M11,D14",0.893096194,0.893096194
"M11,D15",0.893096194,0.893096194
"M11,D16",0.893096194,0.893096194
"M11,D17",0.893096194,0.893096194
"M11,D18",0.893096194,0.893096194
"M11,D19",0.893096194,0.893096194
"M11,D20",0.893096194,0.893096194
"M11,D21",0.893096194,0.893096194
"M11,D22",0.893096194,0.893096194
"M11,D23",0.893096194,0.893096194
"M11,D24",0.893096194,0.893096194
"M11,D25",0.893096194,0.893096194
"M11,D26",0.893096194,0.893096194
"M11,D27",0.893096194,0.893096194
"M11,D28",0.893096194,0.893096194
"M11,D29",0.893096194,0.893096194
"M11,D30",0.893096194,0.893096194
"M12,D1",0.854693955,0.854693955
"M12,D2",0.854693955,0.854693955
"M12,D3",0.854693955,0.854693955
"M12,D4",0.854693955,0.854693955
"M12,D5",0.854693955,0.854693955
"M12,D6",0.854693955,0.854693955
"M12,D7",0.854693955,0.854693955
"M12,D8",0.854693955,0.854693955
"M12,D9",0.854693955,0.854693955
"M12,D10",0.854693955,0.854693955
"M12,D11",0.854693955,0.854693955
"M12,D12",0.854693955,0.854693955
"M12,D13",0.854693955,0.854693955
"M12,D14",0.854693955,0.854693955
"M12,D15",0.854693955,0.854693955
"M12,D16",0.854693955,0.854693955
"M12,D17",0.854693955,0.854693955
"M12,D18",0.854693955,0.854693955
"M12,D19",0.854693955,0.854693955
"M12,D20",0.854693955,0.854693955
"M12,D21",0.854693955,0.854693955
"M12,D22",0.854693955,0.854693955
"M12,D23",0.854693955,0.854693955
"M12,D24",0.854693955,0.854693955
"M12,D25",0.854693955,0.854693955
"M12,D26",0.854693955,0.854693955
"M12,D27",0.854693955,0.854693955
"M12,D28",0.854693955,0.854693955
"M12,D29",0.854693955,0.854693955
"M12,D30",0.854693955,0.854693955
"M12,D31",0.854693955,0.854693955
